Manufacturer,MFR Part #,Product Description, Retail / MSRP , Dealer Actual Cost ,Dealers Discount from list, Proposed GSA Price (w/o IFF fee) ,GSA Discount % from List, Proposed GSA Price (with IFF of .75%) ,Country of Origin,Warranty
LRG TECH,MPS-3400-15-001,"Commander 3400 Base System. 600 AH AGM BATT,  PTZ Camera 2.0 MP 1080P 30X Zoom, 12VDC HIPOE 35W, Camera Mount w/ Hub,   Camera Edge LIC,   Cellular Modem w/ WI-FI Access","$46,616.85 ","$31,077.90 ",33%,"$37,277.08 ",21%,"$36,997.50 ",USA,1 Year
LRG TECH,MPS-3400-15-002,"Commander 3400 Base System. 1200 AH AGM Batt Pack, Dome Camera 2.0 MP 1080P 30X Zoom, 12VDC HIPOE 35W, Camera Mount w/ Hub,   Camera Edge LIC,   Cellular Modem w/ WI-FI Access","$49,073.85 ","$32,715.90 ",33%,"$39,241.81 ",21%,"$38,947.50 ",USA,1 Year
LRG TECH,MPS-3400-15-003,"Commander 3400 Base System. 1200 AH AGM Batt Pack, Dome Camera 2.0 MP 1080P 30X Zoom, 12VDC HIPOE 35W, Camera Mount w/ Hub,   Camera Edge LIC,   Cellular Modem w/ WI-FI Access ","$53,066.10 ","$35,377.40 ",33%,"$42,434.21 ",21%,"$42,115.95 ",USA,1 Year
LRG TECH,MPS-3400-15-004,"Commander 3400 Base System. 1200 AH AGM Batt Pack, PTZ Camera 2.0 MP 1080 30X Zoom, 12VDC HIPOE 35W, Camera Mount w/ Hub,   Computer LIC,   Cellular Modem w/ WI-FI Access, Laptop Server - I3/1TB","$55,042.20 ","$36,694.80 ",33%,"$44,014.39 ",21%,"$43,684.29 ",USA,1 Year
LRG TECH,MPS-3400-15-005,"Commander 3400 Base System. 1200 AH AGM Batt Pack, PTZ Camera 2.0 MP 1080 30X Zoom, 12VDC HIPOE 35W, Camera Mount w/ Hub,   Computer LIC,   Cellular Modem w/ WI-FI Access, Laptop Server - I3/1TB, 400W Solar System 3400 Kit","$59,267.70 ","$39,511.80 ",33%,"$47,393.31 ",21%,"$47,037.86 ",USA,1 Year
LRG TECH,MPS-3400-15-006,"Commander 3400 Base System. 1200 AH AGM Batt Pack, PTZ Camera 2.0 MP 1080P 30X Zoom, 12VDC HIPOE 35W, Camera Mount w/ Hub,   Computer LIC,   Cellular Modem w/ WI-FI Access, Laptop Server - I3/1TB, Heavy Duty Front Wheel Jack, Rollout Storage Container, 4 Camera Internal Storage Rack, 400W Solar System 3400 Kit","$60,631.20 ","$40,420.80 ",33%,"$48,483.63 ",21%,"$48,120.00 ",USA,1 Year
LRG TECH,MPS-3400-15-007,"Commander 3400 Base System. 1200 AH AGM Batt Pack, PTZ Camera 2.0 MP 1080P 30X Zoom, 12VDC HIPOE 35W, Camera Mount w/ Hub,   Computer LIC,   Cellular Modem w/ WI-FI Access, Laptop Server - I3/1TB, LED Strobe Light Kit, 6 LED Body Strobe Light Kit w/ Wire Harness, Heavy Duty Front Wheel Jack, Rollout Storage Container, 4 Camera Internal Storage Rack, 400W Solar System 3400 Kit","$62,437.95 ","$41,625.30 ",33%,"$49,928.39 ",21%,"$49,553.93 ",USA,1 Year
LRG TECH,MPS-3400-15-008,"Commander 3400 Base System. MPS 3400 Generator System 4000W, 1200 AH AGM Batt Pack, PTZ Camera 2.0 MP 1080P 30X Zoom, 12VDC HIPOE 35W, Camera Mount w/ Hub,   Computer LIC,   Cellular Modem w/ WI-FI Access, Laptop Server - I3/1TB","$62,647.20 ","$41,764.80 ",33%,"$50,095.72 ",21%,"$49,720.00 ",USA,1 Year
LRG TECH,MPS-3400-15-009,"Commander 3400 Base System. MPS 3400 Generator System 4000W, 1200 AH AGM Batt Pack, PTZ Camera 2.0 MP 1080P 30X Zoom, 12VDC HIPOE 35W, Camera Mount w/ Hub,   Computer LIC,   Cellular Modem w/ WI-FI Access, Laptop Server - I3/1TB, 400W Solar System 3400 Kit","$66,872.70 ","$44,581.80 ",33%,"$53,474.63 ",21%,"$53,073.57 ",USA,1 Year
LRG TECH,MPS-3400-15-010,"Commander 3400 Base System. MPS 3400 Generator System 4000W, 1200 AH AGM Batt Pack, PTZ Camera 2.0 MP 1080P 30X Zoom, 12VDC HIPOE 35W, Camera Mount w/ Hub,   Computer LIC,   Cellular Modem w/ WI-FI Access, Laptop Server - I3/1TB, Spare Tire, 400W Solar System 3400 Kit","$67,585.95 ","$45,057.30 ",33%,"$54,044.98 ",21%,"$53,639.64 ",USA,1 Year
LRG TECH,MPS-3400-15-011,"Commander 3400 Base System. MPS 3400 Generator System 4000W, 1200 AH AGM Batt Pack, PTZ Camera 2.0 MP 1080P 30X Zoom, 12VDC HIPOE 35W, Camera Mount w/ Hub,   Computer LIC,   Cellular Modem w/ WI-FI Access, Laptop Server - I3/1TB, Spare Tire, Weather Station, 400W Solar System 3400 Kit","$69,192.45 ","$46,128.30 ",33%,"$55,329.61 ",21%,"$54,914.64 ",USA,1 Year
LRG TECH,MPS-3400-15-012,"Commander 3400 Base System. MPS 3400 Generator System 4000W, 1200 AH AGM Batt Pack, PTZ Camera 2.0 MP 1080P 30X Zoom, 12VDC HIPOE 35W, Camera Mount w/ Hub,   Computer LIC,   Cellular Modem w/ WI-FI Access, Laptop Server - I3/1TB, Heavy Duty Front Wheel Jack, Rollout Storage Container, 4 Camera Internal Storage Rack, Spare Tire, 400W Solar System 3400 Kit","$68,949.45 ","$45,966.30 ",33%,"$55,135.30 ",21%,"$54,721.79 ",USA,1 Year
LRG TECH,MPS-3400-15-013,"Commander 3400 Base System. MPS 3400 Generator System 4000W, 1200 AH AGM Batt Pack, PTZ Camera 2.0 MP 1080P 30X Zoom, 12VDC HIPOE 35W, Camera Mount w/ Hub,   Computer LIC,   Cellular Modem w/ WI-FI Access, Laptop Server - I3/1TB, LED Strobe Light Kit, 6 LED Body Strobe Light Kit w/ Wire Harness, Top Mast 2-42"" LED Flood Light Kit, Heavy Duty Front Wheel Jack, Rollout Storage Container, 4 Camera Internal Storage Rack, Spare Tire, Weather Station, 400W Solar System 3400 Kit","$73,987.20 ","$49,324.80 ",33%,"$59,163.73 ",21%,"$58,720.00 ",USA,1 Year
LRG TECH,MPS-3400-15-014,"Commander 3400 Base System. MPS 3400 Generator System 4000W, 1200 AH AGM Batt Pack, PTZ Camera 2.0 MP 1080P 30X Zoom, 12VDC HIPOE 35W, Camera Mount w/ Hub,   Computer LIC,   Cellular Modem w/ WI-FI Access, Laptop Server - I3/1TB, LED Strobe Light Kit, 6 LED Body Strobe Light Kit w/ Wire Harness, 3 PIR - w/ Optex 402, Top Mast 2-42"" LED Flood Light Kit, Heavy Duty Front Wheel Jack, Rollout Storage Container, 4 Camera Internal Storage Rack, Single 30' Safety Ribbon Kit w/ Standards, Spare Tire, Weather Station, 400W Solar System 3400 Kit","$76,183.20 ","$50,788.80 ",33%,"$60,919.76 ",21%,"$60,462.86 ",USA,1 Year
LRG TECH,MPS-3400-15-015,"Commander 3400 Base System. MPS 3400 Generator System 4000W, 1200 AH AGM Batt Pack, PTZ Camera 2.0 MP 1080P 30X Zoom, Dome Camera 2.0 MP 1080P 30X Zoom, 12VDC HIPOE 35W, Camera Mount w/ Hub, Additional Camera - SGL. Cam Arm,   Computer LIC,   Cellular Modem w/ WI-FI Access, Laptop Server - I3/1TB, LED Strobe Light Kit, 6 LED Body Strobe Light Kit w/ Wire Harness, 3 PIR - w/ Optex 402, Top Mast 2-42"" LED Flood Light Kit, Heavy Duty Front Wheel Jack, Rollout Storage Container, 4 Camera Internal Storage Rack, Single 30' Safety Ribbon Kit w/ Standards, Spare Tire, Weather Station, 400W Solar System 3400 Kit","$78,472.05 ","$52,314.70 ",33%,"$62,750.03 ",21%,"$62,279.40 ",USA,1 Year
LRG TECH,MPS-3400-15-016,"Commander 3400 Base System. MPS 3400 Generator System 4000W, 1200 AH AGM Batt Pack, All Weather Insulation Package, PTZ Camera 2.0 MP 1080P 30X Zoom, Dome Camera 2.0 MP 1080P, 12Vdc HIPOE 35W, Camera Mount w/ Hub, Additional Camera - SGL. Cam Arm,   Computer LIC,   Cellular Modem w/ WI-FI Access, Laptop Server - I3-500GB, LED Strobe Light Kit, 3 PIR - w/ Optex402, Top Mast 2-42"" LED Flood Light Kit, Heavy Duty Front Wheel Jack, Rollout Storage Container, 4 Camera Internal Storage Rack, 400W Solar System 3400 Kit","$83,932.29 ","$55,954.86 ",33%,"$67,116.30 ",21%,"$66,612.93 ",USA,1 Year
LRG TECH,MPS-3400-15-017,"Commander 3400 Base System. MPS 3400 Generator System 4000W, 1200 AH AGM Batt Pack, PTZ Camera 2.0 MP 1080P 30X Zoom, Dome Camera 2.0 MP 1080P, 12Vdc HIPOE 35W, Camera Mount w/ Hub, Additional Camera - SGL. Cam Arm,   Computer LIC,   Cellular Modem w/ WI-FI Access, Laptop Server - I3-1TB, LED Strobe Light Kit, 3 PIR - w/ Optex402, Top Mast 2-42"" LED Flood Light Kit, Heavy Duty Front Wheel Jack, Rollout Storage Container, 4 Camera Internal Storage Rack, Wheel Chocks w/ Mounting Brackets, Quiet Winch Upgrade, 10U Rack Upgrade, Single 30' Safety Ribbon Kit w/ Standards, Spare Tire, 400W Solar System 3400 Kit","$92,159.64 ","$61,439.76 ",33%,"$73,695.29 ",21%,"$73,142.57 ",USA,1 Year
LRG TECH,MPS-3400-15-018,"Commander 3400 Base System, MPS 3400 Generator System 4000W, 1200 AH AGM Batt Pack, PTZ Camera 2.0 MP 1080P 30X Zoom, 12VDC HIPOE 35W, Camera Mount w/ Axis Hub, Computer LIC, Cellular Modem w/ WI-FI Access, Laptop Server - I3/1TB, LED Strobe Light Kit, Heavy Duty Front Wheel Jack, Rollout Storage Container, 4 Camera Internal Storage Rack, 400W Solar System 3400 Kit, Fixed Wide Lane License Plate Reader, Fixed Mounting Assembly, Terminal and Control Panel, Commisioning and Configuration","$104,808.24 ","$69,872.16 ",33%,"$85,853.86 ",19%,"$83,181.14 ",USA,1 Year
LRG TECH,MPS-PS-001,"Power Sentry Control Section Lite, PTZ Camera 2.0 MP 1080P 30X Zoom, 12VDC HIPOE 35W, Stock Camera Mount, Edge LIC w/ 64 GIG SD","$5,968.05 ","$3,978.70 ",33%,"$4,772.34 ",21%,"$4,736.55 ",USA,1 Year
LRG TECH,MPS-PS-002,"Power Sentry Control Section Lite, Power Sentry Battery Section 1 Batt, AGM Battery Pack 35 AH AMP Hour, PTZ Camera 2.0 MP 1080P 30X Zoom, 12VDC HIPOE 35W, Stock Camera Mount, Edge LIC w/ 64 GIG SD","$6,519.53 ","$4,346.35 ",33%,"$5,213.33 ",21%,"$5,174.23 ",USA,1 Year
LRG TECH,MPS-PS-003,"Power Sentry Control Section Lite, Power Sentry Battery Section 1 Batt, Lithium Battery 45 AMP, PTZ Camera 2.0 MP 1080P 30X Zoom, 12VDC HIPOE 35W, Stock Camera Mount, Edge LIC w/ 64 GIG SD","$7,682.18 ","$5,121.45 ",33%,"$6,143.04 ",21%,"$6,096.96 ",USA,1 Year
LRG TECH,MPS-PS-004,"Power Sentry Control Section Lite, Power Sentry Battery Section 1 Batt, Lithium Battery 45 AMP, Dome Camera 2.0 MP 1080P, 12VDC HIPOE 35W, Stock Camera Mount, Edge LIC w/ 64 GIG SD","$6,238.43 ","$4,158.95 ",33%,"$4,988.55 ",21%,"$4,951.13 ",USA,1 Year
LRG TECH,MPS-PS-005,"Power Sentry Control Section Lite, Power Sentry Battery Section 1 Batt, AGM Battery Pack 35 AH AMP Hour, Dome Camera 2.0 MP 1080P, 12VDC HIPOE 35W, Stock Camera Mount, Edge LIC w/ 64 GIG SD","$5,075.78 ","$3,383.85 ",33%,"$4,058.83 ",21%,"$4,028.39 ",USA,1 Year
LRG TECH,MPS-PS-006,"Power Sentry Control Section Lite, Dome Camera 5.0 MP 180 or 360 degree Panoramic, 12VDC HIPOE 35W, Stock Camera Mount, Edge LIC w/ 64 GIG SD","$4,243.05 ","$2,828.70 ",33%,"$3,392.95 ",21%,"$3,367.50 ",USA,1 Year
LRG TECH,MPS-PS-007,"Power Sentry Control Section Lite, Dome Camera 2.0 MP 1080P, 12VDC HIPOE 35W, Stock Camera Mount, Edge LIC w/ 64 GIG SD","$4,524.30 ","$3,016.20 ",33%,"$3,617.85 ",21%,"$3,590.71 ",USA,1 Year
LRG TECH,MPS-PS-008,"Power Sentry Control Section w/ Remote Monitoring, Power Sentry Battery Section 1 Batt, Lithium Battery 45 AMP, Dome Camera 2.0 MP 1080P, 12VDC HIPOE 35W, Stock Camera Mount, Edge LIC w/ 64 GIG SD, Cellular Modem w/ WI-FI Access, Security Screws Kit w/ Bit, LED Strobe Kit Light Kit, 2 IR LED Bar w/ Electronics","$12,022.50 ","$8,015.00 ",33%,"$9,613.77 ",21%,"$9,541.67 ",USA,1 Year
LRG TECH,MPS-PS-009,"Power Sentry Control Section w/ Remote Monitoring, Power Sentry Battery Section 1 Batt, Lithium Battery 45 AMP, Dome Camera 2.0 MP 1080P, 12VDC HIPOE 35W, Stock Camera Mount, Edge LIC w/ 64 GIG SD, Cellular Modem w/ WI-FI Access, Security Screws Kit w/ Bit, LED Strobe Kit Light Kit","$9,165.45 ","$6,110.30 ",33%,"$7,329.14 ",21%,"$7,274.17 ",USA,1 Year
LRG TECH,MPS-PS-010,"Power Sentry Control Section w/ Remote Monitoring, Power Sentry Battery Section 1 Batt, Lithium Battery 45 AMP, PTZ Camera 2.0 MP 1080P 30X Zoom, 12VDC HIPOE 35W, Stock Camera Mount, Edge LIC w/ 64 GIG SD, Cellular Modem w/ WI-FI Access, Security Screws Kit w/ Bit, LED Strobe Kit Light Kit, 2 IR LED Bar w/ Electronics, 150 Solar System PS Kit","$13,466.70 ","$8,977.80 ",33%,"$10,768.62 ",21%,"$10,687.86 ",USA,1 Year
LRG TECH,MPS-PS-011,"Power Sentry Control Section w/ Remote Monitoring, Power Sentry Battery Section 1 Batt, Lithium Battery 45 AMP, PTZ Camera 2.0 MP 1080P 30X Zoom, 12VDC HIPOE 35W, Stock Camera Mount, Edge LIC w/ 64 GIG SD, Cellular Modem w/ WI-FI Access, Security Screws Kit w/ Bit, LED Strobe Kit Light Kit","$10,609.20 ","$7,072.80 ",33%,"$8,483.63 ",21%,"$8,420.00 ",USA,1 Year
LRG TECH,MPS-PS-012,"Power Sentry Control Section w/ Remote Monitoring, Power Sentry Battery Section 1 Batt, Lithium Battery 45 AMP, PTZ Camera 2.0 MP 1080P 30X Zoom, Dome Camera 2.0 MP 1080P, 12VDC HIPOE 35W, 12VDC AFPOE 17W, Stock Camera Mount, Edge LIC w/ 64 GIG SD, Cellular Modem w/ WI-FI Access, Security Screws Kit w/ Bit, LED Strobe Kit Light Kit","$15,606.30 ","$10,404.20 ",33%,"$12,479.55 ",21%,"$12,385.95 ",USA,1 Year
LRG TECH,MPS-PS-013,"Power Sentry Control Section w/ Remote Monitoring, Power Sentry Battery Section 1 Batt, Lithium Battery 45 AMP, PTZ Camera 2.0 MP 1080P 30X Zoom, Dome Camera 2.0 MP 1080P, 12VDC HIPOE 35W, 12VDC AFPOE 17W, Stock Camera Mount, Edge LIC w/ 64 GIG SD, Cellular Modem w/ WI-FI Access, Security Screws Kit w/ Bit","$15,291.30 ","$10,194.20 ",33%,"$12,227.66 ",21%,"$12,135.95 ",USA,1 Year
LRG TECH,MPS-PS-014,"Power Sentry Control Section w/ Remote Monitoring, Power Sentry Battery Section 3 Batt, Lithium Battery 45 AMP, Dome Camera 2.0 MP 1080P, 12 VDC HIPOE 35W, Stock Camera Mount, Edge LIC w/ 64 GIG SD, Cellular Modem w/ WI-FI Access, Security Screws Kit w/ Bit","$12,467.70 ","$8,311.80 ",33%,"$9,969.77 ",21%,"$9,895.00 ",USA,1 Year
LRG TECH,MPS-PS-015,"Power Sentry Control Section w/ Remote Monitoring, Power Sentry Battery Section 1 Batt, Lithium Battery 45 AMP, Dome Camera 2.0 MP 1080P, 12VDC HIPOE 35W, Stock Camera Mount, Edge LIC w/ 64 GIG SD, Cellular Modem w/ WI-FI Access, Security Screws Kit w/ Bit","$8,850.45 ","$5,900.30 ",33%,"$7,077.25 ",21%,"$7,024.17 ",USA,1 Year
LRG TECH,MPS-PS-016,"Power Sentry Control Section w/ Remote Monitoring, Power Sentry Battery Section 1 Batt, Lithium Battery 45 AMP, PTZ Camera 2.0 MP 1080P 30X Zoom, 12VDC HIPOE 35W, Stock Camera Mount, Edge LIC w/ 64 GIG SD, Cellular Modem w/ WI-FI Access, Security Screws Kit w/ Bit","$10,294.20 ","$6,862.80 ",33%,"$8,231.74 ",21%,"$8,170.00 ",USA,1 Year
LRG TECH,MPS-PS-017,"Power Sentry Control Section w/ Remote Monitoring, Power Sentry Battery Section 3 Batt, Lithium Battery 45 AMP, PTZ Camera 2.0 MP 1080P 30X Zoom, Dome Camera 2.0 MP 1080P, 12VDC HIPOE 35W, 12VDC 17W, Stock Camera mount, Camera Mount w/ Hub, Edge LIC Server Based, Cellular Modem w/ WI-FI Access, Miniature WIN8.1 OS Computer 65W 512 SSD - 4 GIG, Security Screws Kit w/ Bit, LED Strobe Kit Light Kit, 2 IR Bar w/ Electronics","$23,455.17 ","$15,636.78 ",33%,"$18,755.88 ",21%,"$18,615.21 ",USA,1 Year
LRG TECH,MPS-PS-018,"Power Sentry Control Section w/ Remote Monitoring, Power Sentry Battery Section 3 Batt, Lithium Battery 45 AMP, PTZ Camera 2.0 MP 1080P 30X Zoom, 12VDC HIPOE 35W, Stock Camera Mount, Edge LIC Server Based, Cellular Modem w/ WI-FI Access, Miniature WIN8.1 OS Computer 65W 512 SSD - 4 GIG, Security Screws Kit w/ Bit, LED Strobe Kit Light Kit, 3 IR LED Bar w/ Electronics","$18,658.14 ","$12,438.76 ",33%,"$14,919.95 ",21%,"$14,808.05 ",USA,1 Year
